id_lien,trafic_max,trafic_out,tdc,equipement,interface_equipement,role_A,configuration_A,client,interface_client,role_B,configuration_B,capacite_lien,isis_level,isis_metric,region_exploitation,date,intervalle_charge
PTN00004_PTN00062,1.663439453125,1.663439453125,5.544798177083334,PTN00004,lag-22,A,7750-SR12,PTN00062,lag-22,A,7750-SR12,30,1,10,IDF,2022-08-01,Inf 70%
PTN00004_PTN00062,1.663439453125,1.663439453125,5.544798177083334,PTN00004,lag-22,A,7750-SR12,PTN00062,lag-22,A,7750-SR12,30,1,10,IDF,2022-08-01,Inf 70%
PTN00004_PTN00062,1.663439453125,1.663439453125,5.544798177083334,PTN00004,lag-22,A,7750-SR12,PTN00062,lag-22,A,7750-SR12,30,1,10,IDF,2022-08-01,Inf 70%
PTN00128_PTN00127,1.8412808837890624,1.8412808837890624,3.682561767578125,PTN00128,lag-23,B,7750-SR7,PTN00127,lag-23,B,7750-SR7,50,1,10,IDF,2022-08-01,Inf 70%
PTN00128_PTN00127,1.8412808837890624,1.8412808837890624,3.682561767578125,PTN00128,lag-23,B,7750-SR7,PTN00127,lag-23,B,7750-SR7,50,1,10,IDF,2022-08-01,Inf 70%
PTN00128_PTN00127,1.8412808837890624,1.8412808837890624,3.682561767578125,PTN00128,lag-23,B,7750-SR7,PTN00127,lag-23,B,7750-SR7,50,1,10,IDF,2022-08-01,Inf 70%
PTN00128_PTN00127,1.8412808837890624,1.8412808837890624,3.682561767578125,PTN00128,lag-23,B,7750-SR7,PTN00127,lag-23,B,7750-SR7,50,1,10,IDF,2022-08-01,Inf 70%
PTN00128_PTN00127,1.8412808837890624,1.8412808837890624,3.682561767578125,PTN00128,lag-23,B,7750-SR7,PTN00127,lag-23,B,7750-SR7,50,1,10,IDF,2022-08-01,Inf 70%
PTN00007_PTN00005,1.5425604248046876,1.5425604248046876,5.141868082682292,PTN00007,lag-21,A,7750-SR12,PTN00005,lag-21,A,7750-SR12,30,1,11,IDF,2022-08-01,Inf 70%
PTN00007_PTN00005,1.5425604248046876,1.5425604248046876,5.141868082682292,PTN00007,lag-21,A,7750-SR12,PTN00005,lag-21,A,7750-SR12,30,1,11,IDF,2022-08-01,Inf 70%
PTN00007_PTN00005,1.5425604248046876,1.5425604248046876,5.141868082682292,PTN00007,lag-21,A,7750-SR12,PTN00005,lag-21,A,7750-SR12,30,1,11,IDF,2022-08-01,Inf 70%
PTN00686_PTN00333,0.06123245620727539,0.06123245620727539,0.30616228103637694,PTN00686,lag-20,B,7750-SR7,PTN00333,lag-20,B,7750-SR7,20,1,10,CTA,2022-08-01,Inf 70%
PTN00686_PTN00333,0.06123245620727539,0.06123245620727539,0.30616228103637694,PTN00686,lag-20,B,7750-SR7,PTN00333,lag-20,B,7750-SR7,20,1,10,CTA,2022-08-01,Inf 70%
PTN00972_PTN01411,0.5209366455078125,0.2875089111328125,1.7364554850260414,PTN00972,lag-22,B,7750-SR7,PTN01411,lag-22,B,7750-SR7,30,1,40,SWT,2022-08-01,Inf 70%
PTN00972_PTN01411,0.5209366455078125,0.2875089111328125,1.7364554850260414,PTN00972,lag-22,B,7750-SR7,PTN01411,lag-22,B,7750-SR7,30,1,40,SWT,2022-08-01,Inf 70%
PTN00972_PTN01411,0.5209366455078125,0.2875089111328125,1.7364554850260414,PTN00972,lag-22,B,7750-SR7,PTN01411,lag-22,B,7750-SR7,30,1,40,SWT,2022-08-01,Inf 70%
